FLARE_IDX,CME_IDX,SEP_IDX,Observer,Start Time at Observer (GOES),Start Time at Observer (STIX),Peak Time at Observer (GOES),Peak Time at Observer (STIX),End Time at Observer (GOES),End Time at Observer (STIX),Start Time at 1 AU (GOES),Start Time at 1 AU (STIX),Peak Time at 1 AU (GOES),Peak Time at 1 AU (STIX),End Time at 1 AU (GOES),End Time at 1 AU (STIX),Start Time at the Sun (GOES),Start Time at the Sun (STIX),Peak Time at the Sun (GOES),Peak Time at the Sun (STIX),End Time at the Sun (GOES),End Time at the Sun (STIX),GOES Flare Class,Estimated GOES Flare Class for STIX,GOES HGS LON,GOES HGS LAT,STIX HGS LON,STIX HGS LAT,GOES Distance (AU),STIX Distance (AU),Active Region,IP Radio Bursts
FLARE0114,CME0111,,GOES,2023-05-16 16:31:00,,2023-05-16 16:43:00,,2023-05-16 16:51:00,,2023-05-16 16:31:00,,2023-05-16 16:43:00,,2023-05-16 16:51:00,,2023-05-16 16:22:40,,2023-05-16 16:34:40,,2023-05-16 16:42:40,,M9.6,,-89.0,-23.0,,,1.0,,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230516.png
FLARE0115,CME0111,SEP0065,STIX,,2023-05-16 17:10:03,,2023-05-16 17:24:11,,2023-05-16 18:32:47,,2023-05-16 17:12:36,,2023-05-16 17:26:44,,2023-05-16 18:35:20,,2023-05-16 17:04:16,,2023-05-16 17:18:24,,2023-05-16 18:27:00,,M5,,,126.0,16.0,,0.693,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230516.png
FLARE0116,,,GOES,2023-05-19 00:41:00,,2023-05-19 00:48:00,,2023-05-19 00:54:00,,2023-05-19 00:41:00,,2023-05-19 00:48:00,,2023-05-19 00:54:00,,2023-05-19 00:32:40,,2023-05-19 00:39:40,,2023-05-19 00:45:40,,M5.3,,-74.0,18.0,,,1.0,,13311.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230519.png
FLARE0117,,,GOES,2023-05-20 07:16:00,,2023-05-20 07:32:00,,2023-05-20 07:36:00,,2023-05-20 07:16:00,,2023-05-20 07:32:00,,2023-05-20 07:36:00,,2023-05-20 07:07:40,,2023-05-20 07:23:40,,2023-05-20 07:27:40,,M6.4,,-72.0,19.0,,,1.0,,13311.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230520.png
FLARE0118,,,GOES,2023-05-20 12:25:00,,2023-05-20 12:35:00,,2023-05-20 12:40:00,,2023-05-20 12:25:00,,2023-05-20 12:35:00,,2023-05-20 12:40:00,,2023-05-20 12:16:40,,2023-05-20 12:26:40,,2023-05-20 12:31:40,,M8.9,,-56.0,17.0,,,1.0,,13311.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230520.png
FLARE0119,,,GOES,2023-05-20 14:54:00,,2023-05-20 15:00:00,,2023-05-20 15:04:00,,2023-05-20 14:54:00,,2023-05-20 15:00:00,,2023-05-20 15:04:00,,2023-05-20 14:45:40,,2023-05-20 14:51:40,,2023-05-20 14:55:40,,M5.6,,-55.0,17.0,,,1.0,,13311.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230520.png
FLARE0120,,,GOES,2023-05-20 22:52:00,,2023-05-20 23:06:00,,2023-05-20 23:21:00,,2023-05-20 22:52:00,,2023-05-20 23:06:00,,2023-05-20 23:21:00,,2023-05-20 22:43:40,,2023-05-20 22:57:40,,2023-05-20 23:12:40,,M5.1,,-49.0,19.0,,,1.0,,13311.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230520.png
FLARE0121,,SEP0067,STIX,,2023-05-23 10:27:51,,2023-05-23 10:36:31,,2023-05-23 11:45:51,,2023-05-23 10:29:53,,2023-05-23 10:38:33,,2023-05-23 11:47:53,,2023-05-23 10:21:33,,2023-05-23 10:30:13,,2023-05-23 11:39:33,,X1,,,-165.0,-15.0,,0.756,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230523.png
FLARE0122,,SEP0068,STIX,,2023-05-25 21:27:47,,2023-05-25 22:12:59,,2023-05-25 22:51:47,,2023-05-25 21:29:39,,2023-05-25 22:14:51,,2023-05-25 22:53:39,,2023-05-25 21:21:19,,2023-05-25 22:06:31,,2023-05-25 22:45:19,,M7,,,-131.0,-16.0,,0.777,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230525.png
FLARE0123,,,STIX,,2023-05-30 00:12:07,,2023-05-30 00:24:51,,2023-05-30 01:19:23,,2023-05-30 00:13:43,,2023-05-30 00:26:27,,2023-05-30 01:20:59,,2023-05-30 00:05:23,,2023-05-30 00:18:07,,2023-05-30 01:12:39,,M9,,,-106.0,-7.0,,0.809,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230530.png
FLARE0124,,,STIX,,2023-06-01 14:37:48,,2023-06-01 14:47:12,,2023-06-01 15:01:08,,2023-06-01 14:39:14,,2023-06-01 14:48:38,,2023-06-01 15:02:34,,2023-06-01 14:30:54,,2023-06-01 14:40:18,,2023-06-01 14:54:14,,M9,,,118.0,-24.0,,0.828,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230601.png
FLARE0125,,,STIX,,2023-06-04 02:57:27,,2023-06-04 03:12:59,,2023-06-04 03:49:19,,2023-06-04 02:58:45,,2023-06-04 03:14:17,,2023-06-04 03:50:37,,2023-06-04 02:50:25,,2023-06-04 03:05:57,,2023-06-04 03:42:17,,M8,,,152.0,-25.0,,0.844,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230604.png
FLARE0126,,,STIX,,2023-06-08 21:03:32,,2023-06-08 21:10:04,,2023-06-08 22:21:24,,2023-06-08 21:04:36,,2023-06-08 21:11:08,,2023-06-08 22:22:28,,2023-06-08 20:56:16,,2023-06-08 21:02:48,,2023-06-08 22:14:08,,M5,,,-154.0,14.0,,0.872,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230608.png
FLARE0127,CME0114,,GOES,2023-06-20 16:42:00,,2023-06-20 17:09:00,,2023-06-20 17:26:00,,2023-06-20 16:42:00,,2023-06-20 17:09:00,,2023-06-20 17:26:00,,2023-06-20 16:33:40,,2023-06-20 17:00:40,,2023-06-20 17:17:40,,X1.1,,-73.0,-17.0,,,1.0,,13341.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230620.png
FLARE0128,,,GOES/STIX,2023-07-02 22:54:00,2023-07-02 22:59:14,2023-07-02 23:14:00,2023-07-02 23:18:34,2023-07-02 23:58:00,2023-07-03 00:26:03,2023-07-02 22:54:00,2023-07-02 22:59:39,2023-07-02 23:14:00,2023-07-02 23:18:59,2023-07-02 23:58:00,2023-07-03 00:26:28,2023-07-02 22:45:40,2023-07-02 22:51:19,2023-07-02 23:05:40,2023-07-02 23:10:39,2023-07-02 23:49:40,2023-07-03 00:18:08,X1.0,M8,60.0,16.0,70.0,17.0,1.0,0.95,13354.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230702.png
FLARE0129,,,STIX,,2023-07-07 09:23:55,,2023-07-07 09:57:51,,2023-07-07 10:41:31,,2023-07-07 09:24:19,,2023-07-07 09:58:15,,2023-07-07 10:41:55,,2023-07-07 09:15:59,,2023-07-07 09:49:55,,2023-07-07 10:33:35,,X1,,,124.0,10.0,,0.954,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230707.png
FLARE0130,,,STIX,,2023-07-07 16:32:47,,2023-07-07 16:45:59,,2023-07-07 17:29:55,,2023-07-07 16:33:10,,2023-07-07 16:46:22,,2023-07-07 17:30:18,,2023-07-07 16:24:50,,2023-07-07 16:38:02,,2023-07-07 17:21:58,,M6,,,128.0,10.0,,0.954,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230707.png
FLARE0131,,,STIX,,2023-07-08 19:47:59,,2023-07-08 20:08:31,,2023-07-08 20:45:39,,2023-07-08 19:48:22,,2023-07-08 20:08:54,,2023-07-08 20:46:02,,2023-07-08 19:40:02,,2023-07-08 20:00:34,,2023-07-08 20:37:42,,X1,,,143.0,13.0,,0.954,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230708.png
FLARE0132,,,STIX,,2023-07-09 04:08:35,,2023-07-09 04:27:55,,2023-07-09 05:17:27,,2023-07-09 04:08:58,,2023-07-09 04:28:18,,2023-07-09 05:17:50,,2023-07-09 04:00:38,,2023-07-09 04:19:58,,2023-07-09 05:09:30,,M6,,,147.0,14.0,,0.954,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230709.png
FLARE0133,,,STIX,,2023-07-09 13:02:07,,2023-07-09 13:06:27,,2023-07-09 13:15:55,,2023-07-09 13:02:30,,2023-07-09 13:06:50,,2023-07-09 13:16:18,,2023-07-09 12:54:10,,2023-07-09 12:58:30,,2023-07-09 13:07:58,,M6,,,151.0,14.0,,0.954,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230709.png
FLARE0134,,,STIX,,2023-07-09 22:16:31,,2023-07-09 22:27:23,,2023-07-09 23:40:27,,2023-07-09 22:16:54,,2023-07-09 22:27:46,,2023-07-09 23:40:50,,2023-07-09 22:08:34,,2023-07-09 22:19:26,,2023-07-09 23:32:30,,M6,,,156.0,15.0,,0.954,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230709.png
FLARE0135,,,STIX,,2023-07-10 17:23:12,,2023-07-10 17:32:20,,2023-07-10 18:04:28,,2023-07-10 17:23:35,,2023-07-10 17:32:43,,2023-07-10 18:04:51,,2023-07-10 17:15:15,,2023-07-10 17:24:23,,2023-07-10 17:56:31,,X2,,,168.0,10.0,,0.954,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230710.png
FLARE0136,,,STIX,,2023-07-11 00:02:00,,2023-07-11 00:16:52,,2023-07-11 01:32:28,,2023-07-11 00:02:23,,2023-07-11 00:17:15,,2023-07-11 01:32:51,,2023-07-10 23:54:03,,2023-07-11 00:08:55,,2023-07-11 01:24:31,,M7,,,171.0,15.0,,0.954,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230711.png
FLARE0137,,,STIX,,2023-07-11 15:59:12,,2023-07-11 16:08:12,,2023-07-11 16:38:24,,2023-07-11 15:59:35,,2023-07-11 16:08:35,,2023-07-11 16:38:47,,2023-07-11 15:51:15,,2023-07-11 16:00:15,,2023-07-11 16:30:27,,M6,,,-180.0,10.0,,0.954,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230711.png
FLARE0138,,,GOES,2023-07-11 17:51:00,,2023-07-11 18:08:00,,2023-07-11 18:16:00,,2023-07-11 17:51:00,,2023-07-11 18:08:00,,2023-07-11 18:16:00,,2023-07-11 17:42:40,,2023-07-11 17:59:40,,2023-07-11 18:07:40,,M6.8,,57.0,-19.0,,,1.0,,13368.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230711.png
FLARE0139,,,GOES,2023-07-11 22:04:00,,2023-07-11 22:15:00,,2023-07-11 22:24:00,,2023-07-11 22:04:00,,2023-07-11 22:15:00,,2023-07-11 22:24:00,,2023-07-11 21:55:40,,2023-07-11 22:06:40,,2023-07-11 22:15:40,,M5.8,,-88.0,25.0,,,1.0,,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230711.png
FLARE0140,,,GOES,2023-07-12 08:49:00,,2023-07-12 08:55:00,,2023-07-12 09:00:00,,2023-07-12 08:49:00,,2023-07-12 08:55:00,,2023-07-12 09:00:00,,2023-07-12 08:40:40,,2023-07-12 08:46:40,,2023-07-12 08:51:40,,M6.9,,-77.0,24.0,,,1.0,,13372.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230712.png
FLARE0141,,SEP0072,STIX,,2023-07-13 06:22:08,,2023-07-13 06:46:24,,2023-07-13 07:41:40,,2023-07-13 06:22:32,,2023-07-13 06:46:48,,2023-07-13 07:42:04,,2023-07-13 06:14:12,,2023-07-13 06:38:28,,2023-07-13 07:33:44,,X1,,,-159.0,10.0,,0.953,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230713.png
FLARE0142,,,STIX,,2023-07-13 15:36:12,,2023-07-13 15:45:24,,2023-07-13 16:27:00,,2023-07-13 15:36:36,,2023-07-13 15:45:48,,2023-07-13 16:27:24,,2023-07-13 15:28:16,,2023-07-13 15:37:28,,2023-07-13 16:19:04,,M6,,,-154.0,9.0,,0.953,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230713.png
FLARE0143,,,STIX,,2023-07-14 12:46:56,,2023-07-14 12:50:04,,2023-07-14 12:57:48,,2023-07-14 12:47:20,,2023-07-14 12:50:28,,2023-07-14 12:58:12,,2023-07-14 12:39:00,,2023-07-14 12:42:08,,2023-07-14 12:49:52,,X1,,,-156.0,15.0,,0.952,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230714.png
FLARE0144,CME0118,,STIX,,2023-07-15 19:43:20,,2023-07-15 20:01:48,,2023-07-15 21:07:20,,2023-07-15 19:43:45,,2023-07-15 20:02:13,,2023-07-15 21:07:45,,2023-07-15 19:35:25,,2023-07-15 19:53:53,,2023-07-15 20:59:25,,M9,,,130.0,19.0,,0.951,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230715.png
FLARE0145,CME0119,,STIX,,2023-07-16 04:22:16,,2023-07-16 04:33:00,,2023-07-16 05:48:48,,2023-07-16 04:22:41,,2023-07-16 04:33:25,,2023-07-16 05:49:13,,2023-07-16 04:14:21,,2023-07-16 04:25:05,,2023-07-16 05:40:53,,X9,,,135.0,19.0,,0.95,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230716.png
FLARE0146,CME0120,,STIX,,2023-07-16 13:21:04,,2023-07-16 13:31:12,,2023-07-16 14:49:40,,2023-07-16 13:21:29,,2023-07-16 13:31:37,,2023-07-16 14:50:05,,2023-07-16 13:13:09,,2023-07-16 13:23:17,,2023-07-16 14:41:45,,X6,,,140.0,19.0,,0.95,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230716.png
FLARE0147,CME0120,,STIX,,2023-07-16 14:19:04,,2023-07-16 14:20:04,,2023-07-16 14:22:52,,2023-07-16 14:19:29,,2023-07-16 14:20:29,,2023-07-16 14:23:17,,2023-07-16 14:11:09,,2023-07-16 14:12:09,,2023-07-16 14:14:57,,M5,,,138.0,19.0,,0.95,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230716.png
FLARE0148,,,STIX,,2023-07-17 00:34:20,,2023-07-17 00:38:56,,2023-07-17 00:48:28,,2023-07-17 00:34:45,,2023-07-17 00:39:21,,2023-07-17 00:48:53,,2023-07-17 00:26:25,,2023-07-17 00:31:01,,2023-07-17 00:40:33,,X1,,,146.0,19.0,,0.949,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230717.png
FLARE0149,,,STIX,,2023-07-17 00:56:24,,2023-07-17 00:57:24,,2023-07-17 02:28:32,,2023-07-17 00:56:49,,2023-07-17 00:57:49,,2023-07-17 02:28:57,,2023-07-17 00:48:29,,2023-07-17 00:49:29,,2023-07-17 02:20:37,,X2,,,147.0,19.0,,0.949,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230717.png
FLARE0150,CME0124,,STIX,,2023-07-17 23:18:32,,2023-07-17 23:27:12,,2023-07-18 00:46:20,,2023-07-17 23:18:58,,2023-07-17 23:27:38,,2023-07-18 00:46:46,,2023-07-17 23:10:38,,2023-07-17 23:19:18,,2023-07-18 00:38:26,,M5,,,68.0,-23.0,,0.948,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230717.png
FLARE0151,CME0124,SEP0074,GOES,2023-07-17 23:37:00,,2023-07-18 00:06:00,,2023-07-18 00:23:00,,2023-07-17 23:37:00,,2023-07-18 00:06:00,,2023-07-18 00:23:00,,2023-07-17 23:28:40,,2023-07-17 23:57:40,,2023-07-18 00:14:40,,M5.7,,87.0,-26.0,,,1.0,,13363.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230717.png
FLARE0152,,,STIX,,2023-07-18 01:05:20,,2023-07-18 01:09:48,,2023-07-18 01:44:08,,2023-07-18 01:05:46,,2023-07-18 01:10:14,,2023-07-18 01:44:34,,2023-07-18 00:57:26,,2023-07-18 01:01:54,,2023-07-18 01:36:14,,X1,,,159.0,19.0,,0.948,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230718.png
FLARE0153,,,STIX,,2023-07-18 22:59:19,,2023-07-18 23:03:51,,2023-07-19 00:41:43,,2023-07-18 22:59:46,,2023-07-18 23:04:18,,2023-07-19 00:42:10,,2023-07-18 22:51:26,,2023-07-18 22:55:58,,2023-07-19 00:33:50,,M9,,,170.0,19.0,,0.946,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230718.png
FLARE0154,,,STIX,,2023-07-19 17:05:15,,2023-07-19 17:17:51,,2023-07-19 18:24:07,,2023-07-19 17:05:43,,2023-07-19 17:18:19,,2023-07-19 18:24:35,,2023-07-19 16:57:23,,2023-07-19 17:09:59,,2023-07-19 18:16:15,,M6,,,95.0,-21.0,,0.945,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230719.png
FLARE0155,CME0127,SEP0075,STIX,,2023-07-20 17:15:36,,2023-07-20 17:26:52,,2023-07-20 17:50:12,,2023-07-20 17:16:04,,2023-07-20 17:27:20,,2023-07-20 17:50:40,,2023-07-20 17:07:44,,2023-07-20 17:19:00,,2023-07-20 17:42:20,,X1,,,-164.0,20.0,,0.943,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230720.png
FLARE0156,,,STIX,,2023-07-22 03:05:56,,2023-07-22 03:59:08,,2023-07-22 04:30:48,,2023-07-22 03:06:26,,2023-07-22 03:59:38,,2023-07-22 04:31:18,,2023-07-22 02:58:06,,2023-07-22 03:51:18,,2023-07-22 04:22:58,,M6,,,-148.0,19.0,,0.94,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230722.png
FLARE0157,CME0129,SEP0076,STIX,,2023-07-24 17:31:28,,2023-07-24 17:44:36,,2023-07-24 19:00:08,,2023-07-24 17:32:01,,2023-07-24 17:45:09,,2023-07-24 19:00:41,,2023-07-24 17:23:41,,2023-07-24 17:36:49,,2023-07-24 18:52:21,,X1,,,154.0,-25.0,,0.934,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230724.png
FLARE0158,,,GOES/STIX,2023-07-26 10:17:00,2023-07-26 10:20:08,2023-07-26 10:37:00,2023-07-26 10:34:24,2023-07-26 10:48:00,2023-07-26 11:28:48,2023-07-26 10:17:00,2023-07-26 10:20:43,2023-07-26 10:37:00,2023-07-26 10:34:59,2023-07-26 10:48:00,2023-07-26 11:29:23,2023-07-26 10:08:40,2023-07-26 10:12:23,2023-07-26 10:28:40,2023-07-26 10:26:39,2023-07-26 10:39:40,2023-07-26 11:21:03,M4.6,M6,70.0,21.0,71.0,20.0,1.0,0.929,13376.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230726.png
FLARE0159,CME0132,,GOES/STIX,2023-08-05 21:45:00,2023-08-05 21:52:06,2023-08-05 22:21:00,2023-08-05 22:11:06,2023-08-05 22:44:00,2023-08-05 23:17:46,2023-08-05 21:45:00,2023-08-05 21:53:02,2023-08-05 22:21:00,2023-08-05 22:12:02,2023-08-05 22:44:00,2023-08-05 23:18:42,2023-08-05 21:36:40,2023-08-05 21:44:42,2023-08-05 22:12:40,2023-08-05 22:03:42,2023-08-05 22:35:40,2023-08-05 23:10:22,X1.6,X1,77.0,11.0,64.0,10.0,1.0,0.888,13386.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230805.png
FLARE0160,CME0133,,GOES/STIX,2023-08-06 18:20:00,2023-08-06 18:24:14,2023-08-06 18:40:00,2023-08-06 18:34:50,2023-08-06 18:54:00,2023-08-06 19:52:38,2023-08-06 18:20:00,2023-08-06 18:25:12,2023-08-06 18:40:00,2023-08-06 18:35:48,2023-08-06 18:54:00,2023-08-06 19:53:36,2023-08-06 18:11:40,2023-08-06 18:16:52,2023-08-06 18:31:40,2023-08-06 18:27:28,2023-08-06 18:45:40,2023-08-06 19:45:16,M5.5,M6,86.0,7.0,84.0,7.0,1.0,0.884,13386.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230806.png
FLARE0161,CME0134,,GOES,2023-08-07 20:30:00,,2023-08-07 20:46:00,,2023-08-07 21:18:00,,2023-08-07 20:30:00,,2023-08-07 20:46:00,,2023-08-07 21:18:00,,2023-08-07 20:21:40,,2023-08-07 20:37:40,,2023-08-07 21:09:40,,X1.5,,88.0,12.0,,,1.0,,13386.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230807.png
FLARE0162,CME0134,SEP0079,STIX,,2023-08-07 20:31:04,,2023-08-07 20:39:36,,2023-08-07 20:40:48,,2023-08-07 20:32:04,,2023-08-07 20:40:36,,2023-08-07 20:41:48,,2023-08-07 20:23:44,,2023-08-07 20:32:16,,2023-08-07 20:33:28,,X1,,,97.0,11.0,,0.878,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230807.png
FLARE0163,,,STIX,,2023-08-08 09:18:27,,2023-08-08 09:28:59,,2023-08-08 10:18:27,,2023-08-08 09:19:30,,2023-08-08 09:30:02,,2023-08-08 10:19:30,,2023-08-08 09:11:10,,2023-08-08 09:21:42,,2023-08-08 10:11:10,,M5,,,84.0,18.0,,0.875,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230808.png
FLARE0164,,,STIX,,2023-08-09 15:12:39,,2023-08-09 16:05:47,,2023-08-09 16:55:19,,2023-08-09 15:13:45,,2023-08-09 16:06:53,,2023-08-09 16:56:25,,2023-08-09 15:05:25,,2023-08-09 15:58:33,,2023-08-09 16:48:05,,M5,,,124.0,7.0,,0.869,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230809.png
FLARE0165,CME0140,,GOES,2023-09-03 08:09:00,,2023-09-03 08:36:00,,2023-09-03 08:49:00,,2023-09-03 08:09:00,,2023-09-03 08:36:00,,2023-09-03 08:49:00,,2023-09-03 08:00:40,,2023-09-03 08:27:40,,2023-09-03 08:40:40,,M6.0,,88.0,12.0,,,1.0,,13413.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230903.png
FLARE0166,CME0140,,STIX,,2023-09-03 08:11:41,,2023-09-03 08:31:05,,2023-09-03 09:40:25,,2023-09-03 08:14:26,,2023-09-03 08:33:50,,2023-09-03 09:43:10,,2023-09-03 08:06:06,,2023-09-03 08:25:30,,2023-09-03 09:34:50,,M7,,,92.0,13.0,,0.67,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230903.png
FLARE0167,CME0142,SEP0084,STIX,,2023-09-08 11:07:31,,2023-09-08 11:17:59,,2023-09-08 12:52:44,,2023-09-08 11:10:45,,2023-09-08 11:21:13,,2023-09-08 12:55:57,,2023-09-08 11:02:25,,2023-09-08 11:12:53,,2023-09-08 12:47:37,,X4,,,164.0,11.0,,0.613,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230908.png
FLARE0168,CME0143,SEP0085,STIX,,2023-09-11 22:13:20,,2023-09-11 22:23:36,,2023-09-11 23:36:00,,2023-09-11 22:16:54,,2023-09-11 22:27:10,,2023-09-11 23:39:34,,2023-09-11 22:08:34,,2023-09-11 22:18:50,,2023-09-11 23:31:14,,X4,,,-151.0,10.0,,0.571,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230911.png
FLARE0169,,,GOES,2023-09-20 14:11:00,,2023-09-20 14:19:00,,2023-09-20 14:25:00,,2023-09-20 14:11:00,,2023-09-20 14:19:00,,2023-09-20 14:25:00,,2023-09-20 14:02:40,,2023-09-20 14:10:40,,2023-09-20 14:16:40,,M8.2,,-35.0,7.0,,,1.0,,13435.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230920.png
FLARE0170,,SEP0086,GOES,2023-09-21 12:42:00,,2023-09-21 12:54:00,,2023-09-21 13:02:00,,2023-09-21 12:42:00,,2023-09-21 12:54:00,,2023-09-21 13:02:00,,2023-09-21 12:33:40,,2023-09-21 12:45:40,,2023-09-21 12:53:40,,M8.7,,-22.0,7.0,,,1.0,,13435.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230921.png
FLARE0171,,,STIX,,2023-10-31 20:09:59,,2023-10-31 20:50:35,,2023-10-31 21:27:11,,2023-10-31 20:13:39,,2023-10-31 20:54:15,,2023-10-31 21:30:51,,2023-10-31 20:05:19,,2023-10-31 20:45:55,,2023-10-31 21:22:31,,M6,,,-108.0,-12.0,,0.56,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20231031.png
FLARE0172,,,STIX,,2023-11-28 19:19:29,,2023-11-28 19:43:29,,2023-11-28 20:45:25,,2023-11-28 19:20:54,,2023-11-28 19:44:54,,2023-11-28 20:46:50,,2023-11-28 19:12:34,,2023-11-28 19:36:34,,2023-11-28 20:38:30,,M8,,,0.0,-18.0,,0.831,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20231128.png
FLARE0173,,,GOES,2023-11-28 19:35:00,,2023-11-28 19:50:00,,2023-11-28 20:09:00,,2023-11-28 19:35:00,,2023-11-28 19:50:00,,2023-11-28 20:09:00,,2023-11-28 19:26:40,,2023-11-28 19:41:40,,2023-11-28 20:00:40,,M9.8,,0.0,-16.0,,,1.0,,13500.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20231128.png
FLARE0174,,,GOES/STIX,2023-12-08 22:57:00,2023-12-08 22:59:37,2023-12-08 23:07:00,2023-12-08 23:04:53,2023-12-08 23:14:00,2023-12-09 00:12:21,2023-12-08 22:57:00,2023-12-08 23:00:33,2023-12-08 23:07:00,2023-12-08 23:05:49,2023-12-08 23:14:00,2023-12-09 00:13:17,2023-12-08 22:48:40,2023-12-08 22:52:13,2023-12-08 22:58:40,2023-12-08 22:57:29,2023-12-08 23:05:40,2023-12-09 00:04:57,M5.4,M6,47.0,-21.0,52.0,-23.0,1.0,0.889,13511.0,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20231208.png
