CME IDX,FLARE_IDX,Other associations,SEP_IDX,GOES Flare Class,GOES Estimated Flare Class for STIX,Start Time (Observer),Observer,Start time (1 AU),Start time (Sun),Central Position Angle (degrees),Angular Width (degrees),Speed (km/s),Acceleration (m/s2),Mass (g),Kinetic Energy (erg)
CME0140,FLARE0165,,,M6.0,,2023-09-03 09:12:10,LASCO,2023-09-03 09:12:10,2023-09-03 09:03:50,305,249,1349,13.0,,
CME0141,,,,,,2023-09-05 14:00:05,LASCO,2023-09-05 14:00:05,2023-09-05 13:51:45,Halo,360,1539,38.4,,
CME0142,FLARE0167,,SEP0084,C3.7,X4,2023-09-08 11:36:05,LASCO,2023-09-08 11:36:05,2023-09-08 11:27:45,Halo,360,1001,-28.0,,
CME0143,FLARE0168,,SEP0085,,X4,2023-09-11 22:36:05,LASCO,2023-09-11 22:36:05,2023-09-11 22:27:45,Halo,360,1060,-19.4,,
CME0144,,,,,,2023-09-30 03:27:06,LASCO,2023-09-30 03:27:06,2023-09-30 03:18:46,277,12,1053,-115.8*,,
CME0145,,,SEP0088,,,2023-10-10 10:24:06,LASCO,2023-10-10 10:24:06,2023-10-10 10:15:46,Halo,360,1102,-5.6,,
CME0146,,,SEP0090,,,2023-10-26 23:14:06,LASCO,2023-10-26 23:14:06,2023-10-26 23:05:46,Halo,360,1238,-7.3,,
CME0147,FLARE0177,,,M6.3,M7,2023-12-15 07:48:06,LASCO,2023-12-15 07:48:06,2023-12-15 07:39:46,271,235,1018,-14.0,,
CME0148,FLARE0180,,SEP0098,,X6,2023-12-31 22:00:05,LASCO,2023-12-31 22:00:05,2023-12-31 21:51:45,Halo,360,2852,-133.5,,
CME0149,,,,C3.2,,2024-01-28 16:12:05,LASCO,2024-01-28 16:12:05,2024-01-28 16:03:45,310,56,1162,-8.6*,,
CME0150,FLARE0186,"FLARE0186,FLARE0187",,M6.8,C1,2024-01-29 04:24:05,LASCO,2024-01-29 04:24:05,2024-01-29 04:15:45,Halo,360,1554,-11.1,,
CME0151,FLARE0188,,,,X2,2024-02-02 13:36:30,LASCO,2024-02-02 13:36:30,2024-02-02 13:28:10,98,181,1361,-88.4,,
CME0152,FLARE0189,,,M5.1,,2024-02-07 03:24:05,LASCO,2024-02-07 03:24:05,2024-02-07 03:15:45,Halo,360,1452,3.7,,
CME0153,FLARE0190,,,C1.7,,2024-02-09 13:25:57,LASCO,2024-02-09 13:25:57,2024-02-09 13:17:37,Halo,360,2782,-10.7,,
CME0154,,,,,,2024-02-10 03:48:05,LASCO,2024-02-10 03:48:05,2024-02-10 03:39:45,Halo,360,1418,-4.6,,
CME0155,,,,C6.9,,2024-02-12 06:36:05,LASCO,2024-02-12 06:36:05,2024-02-12 06:27:45,Halo,360,2792,-136.6,,
CME0156,,,,,,2024-02-14 04:12:05,LASCO,2024-02-14 04:12:05,2024-02-14 04:03:45,Halo,360,2191,-121.0,,
CME0157,,,,,,2024-02-15 09:24:07,LASCO,2024-02-15 09:24:07,2024-02-15 09:15:47,Halo,360,1751,-35.3,,
CME0158,,,,,,2024-02-16 01:36:33,LASCO,2024-02-16 01:36:33,2024-02-16 01:28:13,Halo,360,1709,-91.6,,
CME0159,,,,,,2024-02-17 13:36:27,LASCO,2024-02-17 13:36:27,2024-02-17 13:28:07,Halo,360,1234,-20.1,,
